2015,Models,Note,Frame,Size,Color,Tube,BB-CL,Drop-Out,Shock,Fork,BB Set,B-Lever,Brake-F,Brake-R,B-Cable,C-Housing,Chain,C-Guard,Chainwheel,DERA-F,DERA-R,Freewheel,Bar-End,Grip,H-Bar,H-B Stem,Head Set,Hub-F,Hub-R,Leadpipe,Pedal,Reflector,Reflector-bkt,Rim,Rim tape,Saddle,Seat Clamp,Seat Post,Shifter-F,Shifter-R,Spoke,Spoke Disk,Inner Tube,Tire-F,Tire-R,Hardware,Decal,C/S Protector,Carton,Manual,Packing,Bell
One-Twenty 7.,800,,One-Twenty Pro 7-D-Single BC A-Link,S-M-L-XL,0,0,0,0,Fox Flat CTD remote-factory,"Fox 32 Float 650B CTD O/C remote-ready (1.5T, 15QR)- Evolution 130",Shimano octalink,attached,Shimano SLX 180 cen,Shimano SLX 180 cen,attached,MTK700 SP40,KMC X10 10s,NO,Shimano SLX 38-24,Shimano SLX double,Shimano SLX Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Vise 135,MERIDA pro OS 740 R12,MERIDA pro Carbon 5,Big Conoid S-bearing neck,Shimano Deore 15,Shimano Deore-12 cen,0,XC pro alloy,0,0,DT Swiss 533D-27,0,Prologo Kappa 2,MERIDA pro QR,KS SuperNatural SB0 31.6,Shimano SLX ispec,Shimano SLX ispec,Black stainless,0,Ultralite-27.5,Schwalbe Nobi Nic 2.25 TSC,Schwalbe Nobi Nic 2.25 PSC,Stainless,0,0,0,0,0.95,YWS-Alloy
One-Twenty 7.,XT-edition,,One-Twenty Comp 7-D EG A-Link,S-M-L-XL,0,0,0,0,Fox Float CTD SV (No BV) - Evolution,Fox 32 Float 650B CTD O/C remote ready- Evolution 120,attached,attached,Shimano M615 180 cen,Shimano M615 180 cen,attached,MTK700 SP40,KMC Z10-10s,NO,Shimano XT 38-24,Shimano Deore triple,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Vise 135,MERIDA pro OS 740 R12,MERIDA pro OS 5,EGG steel neck,Formula Centerlock ,Formula Centerlock-12,0,XC pro alloy,0,0,DT Swiss 533D-27,0,Prologo Kappa 2,MERIDA pro QR,MERIDA pro H SB0 31.6,Shimano SLX ispec,Shimano SLX ispec,Black stainless,0,Ultralite-27.5,Schwalbe Nobi Nic 2.25 TSC,Schwalbe Nobi Nic 2.25 PSC,Stainless,0,0,0,0,95%,YWS-Alloy
One-Twenty 7.,600,,One-Twenty Comp 7-D EG A-Link,S-M-L-XL,0,0,0,0,Rock Shox Monarch R,Rock Shox 30Gold TK27 120 poploc,attached,attached,Shimano M506 180 cen,Shimano M506 180 cen,attached,MTK700 SP40,KMC Z10-10s,NO,Shimano M612 40-30-22,Shimano Deore triple,Shimano SLX Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 740 R12,MERIDA pro OS 5,EGG steel neck,Formula Centerlock ,Formula Centerlock-12,0,XC pro alloy,0,0,Merida Big 7 comp D,0,Merida Sport 1,MERIDA pro QR,MERIDA pro H SB0 31.6,Shimano Deore-i,Shimano Deore-i,Black stainless,0,Ultralite-27.5,MERIDA  lite 27 2.25 KV,MERIDA  lite 27 2.25 KV,Stainless,0,0,0,0,95%,YWS-Alloy
One-Twenty 7.,600-Juliet,,One-Twenty Comp 7-D EG A-Link,lady S-M-L,0,0,0,0,Rock Shox Monarch R,Rock Shox 30Gold TK27 120 poploc,attached,attached,Shimano M506 180 cen,Shimano M506 180 cen,attached,MTK700 SP40,KMC Z10-10s,NO,Shimano M612 40-30-22,Shimano Deore triple,Shimano SLX Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 700 R12 lady,MERIDA pro OS 5 lady,EGG steel neck,Formula Centerlock ,Formula Centerlock-12,0,XC pro alloy,0,0,Merida Big 7 comp D,0,Juliet Sport,MERIDA pro QR,MERIDA pro H SB0 31.6,Shimano Deore,Shimano Deore,Black+White stainless,0,Ultralite-27.5,MERIDA  lite 27 2.25 KV,MERIDA  lite 27 2.25 KV,Stainless,0,0,0,0,95%,YWS-Alloy
One-Twenty 7.,500,,One-Twenty Comp 7-D EG A-Link,S-M-L-XL,0,0,0,0,SR Suntour Epicon Lorp,SR Epixon XC RL-R 27.5 120 remote,Shimano octalink,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 180,attached,MTK700 SP40,KMC Z10-10s,NO,Shimano M523 octa 40-30-22,Shimano Deore triple,Shimano Deore Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 740 R12,MERIDA pro OS 5,EGG steel neck,Bearing Disc,Bearing disc-12,0,XC pro alloy,0,0,Merida Big 7 comp D,0,Merida Sport 1,MERIDA pro QR,MERIDA comp SB12 31.6,Shimano Deore,Shimano Deore,Black stainless,0,Ultralite-27.5,MERIDA  lite 27 2.25 ,MERIDA  lite 27 2.25 ,Stainless,0,0,0,0,95%,YWS-Alloy
Ninety-Nine 9.,Team,,Ninety-Nine CF4,S-M-L-XL-XXL,0,0,0,0,Rock Shox Monarch XX X-lock MMX right,Rock Shox SID XX-29 SA 15mm 100 Xlock taper,attached,attached,Sram XX 180 disc,Sram XX 160 disc,attached,MTK700 SP40,KMC X11 11s,no,Sram XX1 32 GXP,no,Sram XX1 11s,Sram XG-11s 10-42,0,Foam Vise,PRC Team  carbon 720 Flat,PRC Team OS -17,Big Conoid A-bearing,attached,attached,0,NO,0,0,Fulcrum Red Power HP 29 F15-R12 disc,0,Prologo new Nago Evo X10 TiroX,Ultralite Allen,PRC Double carbon superlite 31.6,no,Sram XX1 trigger,attached,0,Superlite-29,Maxxis Aspen 29er Exception 2.1,Maxxis Aspen 29er Exception 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Ninety-Nine 9.,7000,,Ninety-Nine CF4,S-M-L-XL-XXL,0,0,0,0,Fox Float CTD Remote BV SV - Factory,"Fox 32 Float 29 CTD Remote-Ready O/C (1.5T, 15QR)- Evolution 120",attached,attached,Shimano XT-Fin 180 cen ice,Shimano XT-Fin 180 cen ice,attached,MTK700 SP40,KMC X10 10s,no,Shimano XT 38-24,Shimano XT HD double,Shimano XT Shadow+ ,Shimano CS-HG81-10 11-36,0,Foam Vise,MERIDA pro OS 720 Flat,MERIDA pro Carbon -5,Big Conoid A-bearing,attached,12mm axle,0,NO,0,0,Fulcrum Red Power HP 29 F15-R12 cen,0,Prologo new Nago Evo X10 STN,Ultralite Allen,MERIDA carbon H SB0 31.6,Shimano XT-i,Shimano XT-i,attached,0,Ultralite-29,Schwalbe Racing Ralph 2.25 PSC,Schwalbe Racing Ralph 2.25 PSC,Stainless,0,0,0,0,95%,YWS-Alloy
Ninety-Nine 9.,XT,,Ninety-Nine CF2 / alloy rear,S-M-L-XL-XXL,0,0,0,0,Fox Float CTD Remote BV SV - Factory,"Fox 32 Float 29 CTD Remote-Ready O/C (1.5T, 15QR)- Evolution 120",attached,attached,Shimano M615 180 cen,Shimano M615 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano XT 40-30-22,Shimano XT HD triple,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 720 Flat,MERIDA pro Carbon -5,Big Conoid A-bearing,Shimano Deore 15,Shimano Deore-12 cen,0,XC pro alloy,0,0,DT Swiss 533D-29,0,Prologo Kappa 2,Ultralite Allen,MERIDA carbon H SB0 31.6,Shimano SLX ispec,Shimano SLX ispec,Black stainless,0,Ultralite-29,Continental X-King 29 2.2 fold,Continental X-King 29 2.2 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Ninety-Nine 9.,6000,,Ninety-Nine CF2 / alloy rear,S-M-L-XL-XXL,0,0,0,0,Rock Shox Monarch R-C2,Rock Recon Gold  TK29 air 120 taper pushloc,attached,attached,Shimano M615 180 cen,Shimano M615 160 cen,attached,MTK700 SP40,KMC X10 10s,no,Shimano SLX 38-24,Shimano SLX double,Shimano SLX Shadow+,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 720 Flat,MERIDA pro Carbon -5,Big Conoid A-bearing,Shimano Deore,Shimano Deore-12 cen,0,no,0,0,DT Swiss 466D-29,0,Prologo Kappa 2,Ultralite Allen,MERIDA carbon H SB0 31.6,Shimano SLX ispec,Shimano SLX ispec,Black stainless,0,Ultralite-29,Continental X-King 29 2.2 fold,Continental X-King 29 2.2 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Ninety-Nine 9.,800,,Ninety-Nine 9 Lite-single R12,S-M-L-XL-XXL,0,0,0,0,Fox Float CTD SV (no BV) - Performance,Fox 32 Float 29 CTD Remote-Ready O/C **(1.5T)- Evolution 120,attached,attached,Shimano SLX 180 cen,Shimano SLX 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano SLX 38-24,Shimano SLX HD triple,Shimano SLX Shadow+,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 720 Flat,MERIDA pro OS -5,Big Conoid A-bearing,Shimano Deore,Shimano Deore-12 cen,0,XC pro alloy,0,0,DT Swiss 533D-29,0,Prologo Kappa 2,Hollow Allen,MERIDA pro H SB0 31.6,Shimano SLX ispec,Shimano SLX ispec,Black stainless,0,Ultralite-29,Continental X-King 29 2.2 fold,Continental X-King 29 2.2 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Ninety-Nine 9.,600,,Ninety-Nine 9 Lite-single R12,S-M-L-XL-XXL,0,0,0,0,Rock Shox Monarch R-C2,Rock Shox 30Gold TK29 120 taper poploc ,attached,attached,Shimano M506 180 cen,Shimano M506 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano M612 40-30-22,Shimano Deore HD triple,Shimano SLX Shadow+,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 720 Flat,MERIDA pro OS -5,Big Conoid Semi,Formula Centerlock ,Formula Centerlock-12,0,XC pro alloy,0,0,Merida Big Nine pro D,0,Merida Sport 1,Hollow Allen,MERIDA pro H SB0 31.6,Shimano Deore,Shimano Deore,Black stainless,0,Ultralite-29,Merida Race lite 29er 2.1 fold,Merida Race lite 29er 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,Team,,Big 9 CF5 team ,"15-17-19-21-23""",0,0,0,0,0,Rock Shox SID XX-29 SA 15mm 100 Xlock taper,attached,attached,Sram XX 180 disc,Sram XX 160 disc,attached,MTK700 SP40,KMC X11 11s,NO,Sram XX1 32 BB30,no,Sram XX1 11s,Sram XG-11s 10-42,0,Foam Vise,PRC Team Flatbar 700,PRC Team OS -17,Big Conoid A-bearing,attached,attached,0,NO,0,0,Fulcrum Red Power HP 29 F15-R12 disc,0,Prologo Nago Evo X10 TiroX,Carbon 32 Allen,PRC Double carbon superlite 27.2,no,Sram XX1 trigger,attached,0,Superlite-29,Maxxis Aspen 29er Exception 2.1,Maxxis Aspen 29er Exception 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,7000,,Big 9 CF2,"15-17-19-21-23""",0,0,0,0,0,"Fox 32 Float 29 CTD Remote-Ready O/C (1.5T, 15QR)- Evolution 100",attached,attached,Shimano XT-Fin 180 cen ice,Shimano XT-Fin 160 cen ice,attached,MTK700 SP40,KMC X10 10s,no,Shimano XT 38-24,Shimano XT direct,Shimano XT Shadow+,Shimano CS-HG81-10 11-36,0,Foam Vise,MERIDA pro OS 700 Flat,MERIDA pro Carbon -5,Big Conoid A-bearing,attached,12mm axle,0,NO,0,0,Fulcrum Red Power HP 29 F15-R12 cen,0,Prologo Nago Evo X10 STN,Ultralite Allen,MERIDA carbon H SB0 27.2,Shimano XT-i,Shimano XT-i,attached,0,Ultralite-29,Schwalbe Racing Ralph EVO 2.25 PSC,Schwalbe Racing Ralph EVO 2.25 PSC,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,6000,,Big 9 CF2,"15-17-19-21-23""",0,0,0,0,0,Rock Shox SID RL29 SA 100 taper pushloc,attached,attached,Shimano SLX 180 cen,Shimano SLX 160 cen,attached,MTK700 SP40,KMC X10 10s,NO,Shimano SLX 38-24,Shimano SLX direct,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 700 Flat,MERIDA pro Carbon -5,Big Conoid A-bearing,Shimano SLX,Shimano SLX-12,0,NO,0,0,DT Swiss 466D-29,0,Prologo Kappa 2,Ultralite Allen,MERIDA carbon H SB0 27.2,Shimano SLX ispec,Shimano SLX ispec,Black stainless,0,Ultralite-29,Continental X-King 29 2.2 fold,Continental X-King 29 2.2 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,XT,,Big 9 CF2,"15-17-19-21-23""",0,0,0,0,0,Fox 32 Float 29 CTD remote ready O/C (1.5T)- Evolution 100,attached,attached,Shimano M506 180 cen,Shimano M506 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano XT 40-30-22,Shimano XT direct,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 700 Flat,MERIDA pro OS 5,Big Conoid A-bearing,Shimano Deore,Shimano Deore-12 cen,0,XC pro alloy,0,0,Merida Big Nine pro D,0,Merida Sport 1,Ultralite Allen,MERIDA pro H SB0 27.2,Shimano XT-i,Shimano XT-i,Black stainless,0,Ultralite-29,Maxxis Crossmark 29er 2.1 fold,Maxxis Crossmark 29er 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,1000,,Big 9 CF2,"15-17-19-21-23""",0,0,0,0,0,Rock Shox 30Gold 29 100 taper poploc,attached,attached,Shimano M506 180 cen,Shimano M506 160 cen,attached,MTK700 SP40,KMC X10 10s,no,Shimano M612 40-30-22,Shimano Deore direct,Shimano XT Shadow,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 700 Flat,MERIDA pro Carbon -5,Big Conoid A-bearing,Formula Centerlock ,Formula Centerlock-12,0,XC pro alloy,0,0,Merida Big Nine comp D,0,Merida Sport 1,Ultralite Allen,MERIDA pro H SB0 27.2,Shimano Deore-i,Shimano Deore-i,Black stainless,0,Ultralite-29,Merida Race lite 29er 2.1 fold,Merida Race lite 29er 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,900,,Big 9 Lite -single R12,"15-17-19-21-23""",0,0,0,0,0,"Fox 32 Float 29 CTD remote ready O/C (1.5T, 15QR)- Evolution 100 taper",attached,attached,Shimano XT-Fin 180 cen,Shimano XT-Fin 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano XT 40-30-22,Shimano XT triple,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 700 Flat,MERIDA pro OS 5,Big Conoid A-bearing,Shimano XT 15,Shimano XT 12,0,XC pro alloy,0,0,DT Swiss 466D-29,0,Prologo Kappa 2,Hollow Allen,MERIDA pro H SB0 27.2,Shimano XT-i,Shimano XT-i,Black stainless,0,Ultralite-29,Maxxis Crossmark 29er 2.1 fold,Maxxis Crossmark 29er 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,800,,Big 9 Lite -single R12,"15-17-19-21-23""",0,0,0,0,0,Fox 32 Float 29 CTD remote ready O/C (1.5T)- Evolution 100 taper,attached,attached,Shimano M615 180 cen,Shimano M615 160 cen,attached,MTK700 SP40,KMC X10 10s,no,Shimano SLX 38-24,Shimano Deore double,Shimano SLX Shadow+,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 700 Flat,MERIDA pro OS 5,Big Conoid A-bearing,Shimano Deore,Shimano Deore-12 cen,0,XC pro alloy,0,0,DT Swiss 466D-29,0,Selle Italia X1,Hollow Allen,MERIDA pro H SB0 27.2,Shimano SLX ispec,Shimano SLX ispec,Black stainless,0,Ultralite-29,Continental X-King 29 2.2 fold,Continental X-King 29 2.2 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,XT-edition,,Big 9 TFS-single,"15-17-19-21-23""",0,0,0,0,0,Rock Shox 30Gold TK29 100 poploc,attached,attached,Shimano M506 180 cen,Shimano M506 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano XT 40-30-22,Shimano XT triple,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA pro OS 5,EGG S-bearing ,Shimano M435 cen,Shimano M435 cen,0,XC pro alloy,0,0,Merida Big Nine pro D,0,Merida Sport 1,MERIDA pro QR,MERIDA pro H SB0 27.2,Shimano XT-i,Shimano XT-i,Black stainless,0,Ultralite-29,Maxxis Crossmark 29er 2.1 fold,Maxxis Crossmark 29er 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,Team Issue,,Big 9 TFS-single,"15-17-19-21-23""",0,0,0,0,0,Rock Shox 30Gold TK29 100 poploc,attached,attached,Sram DB5 180,Sram DB5 160,attached,MTK700 SP40,KMC Z10-10s,no,Sram S1000 38-24,Sram X5 double,Sram X9 carbon ,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA pro OS 5,EGG S-bearing ,Bearing Disc,Bearing Disc Cassette,0,XC pro alloy,0,0,Merida Big Nine comp D,0,Merida Sport 1,MERIDA pro QR,MERIDA pro H SB0 27.2,Sram X7 trigger ,Sram X7 trigger ,Black stainless,0,Ultralite-29,Merida Race lite 29er 2.1 fold,Merida Race lite 29er 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
